Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation), Accuracy,StopCount,Runtime
1,3,2,0.28123959,0.27762882,0.27762882,0.2891,   0/  3,3.85289454
1,3,3,0.27980906,0.27689735,0.27689735,0.2997,   0/  3,3.85904193
1,3,4,0.27808602,0.27429728,0.27429728,0.3568,   0/  3,3.85025358
1,3,5,0.27015984,0.26577215,0.26577215,0.344,   0/  3,3.84901023
1,3,6,0.26664764,0.26472728,0.26472728,0.3268,   0/  3,3.86563802
1,3,7,0.26546996,0.26327485,0.26327485,0.3316,   0/  3,3.85241199
1,3,8,0.26484283,0.26284634,0.26284634,0.3305,   0/  3,3.8747468
1,3,9,0.26433365,0.26297403,0.26284634,0.3348,   1/  3,3.89452767
1,3,10,0.26388316,0.26265012,0.26265012,0.3322,   1/  3,3.90653181
1,3,11,0.26386185,0.26307639,0.26265012,0.3574,   2/  3,3.91697645
1,3,12,0.26384939,0.26418021,0.26265012,0.3677,   3/  3,3.97176576
1,4,0,0.34686867,0.32494503,0.32494503,0.1135,   0/  3,3.80769753
1,4,1,0.32499804,0.32495202,0.32494503,0.1135,   1/  3,3.83234406
1,4,2,0.32499822,0.32500463,0.32494503,0.1135,   2/  3,3.83490276
1,4,3,0.32500268,0.32491078,0.32491078,0.1135,   2/  3,3.82564092
1,4,4,0.32500137,0.32506346,0.32491078,0.1135,   3/  3,3.83307219
1,5,0,0.35420535,0.32497318,0.32497318,0.1135,   0/  3,3.90194368
1,5,1,0.32499305,0.32492693,0.32492693,0.1135,   0/  3,3.91014528
1,5,2,0.3249972,0.32497767,0.32492693,0.1135,   1/  3,3.91659904
1,5,3,0.32500195,0.32497164,0.32492693,0.1135,   2/  3,3.91709995
1,5,4,0.32498723,0.32497478,0.32492693,0.1135,   3/  3,3.91000772
1,6,0,0.34082694,0.32499538,0.32499538,0.1135,   0/  3,3.81575251
1,6,1,0.32501676,0.32505941,0.32499538,0.1135,   1/  3,3.8307755
1,6,2,0.32500108,0.32499707,0.32499538,0.1135,   2/  3,3.82576656
1,6,3,0.32502682,0.32500179,0.32499538,0.1135,   3/  3,3.82615232
1,7,0,0.3069967,0.2598912,0.2598912,0.3057,   0/  3,3.94902205
1,7,1,0.25694906,0.25253645,0.25253645,0.3492,   0/  3,3.9713645
1,7,2,0.25182811,0.24823738,0.24823738,0.346,   0/  3,3.98355436
1,7,3,0.24922403,0.2532331,0.24823738,0.3283,   1/  3,3.98689842
1,7,4,0.24813244,0.24629494,0.24629494,0.3353,   1/  3,3.9788723
1,7,5,0.24724709,0.24499623,0.24499623,0.3566,   1/  3,3.99097943
1,7,6,0.24665897,0.24401529,0.24401529,0.3615,   1/  3,3.98244834
1,7,7,0.24618866,0.24618772,0.24401529,0.3536,   2/  3,3.98051763
1,7,8,0.24586194,0.24393397,0.24393397,0.3647,   2/  3,3.98543239
1,7,9,0.24523582,0.24388167,0.24388167,0.3668,   2/  3,4.0248816
1,7,10,0.24404994,0.24592531,0.24388167,0.3621,   3/  3,4.09772277
1,8,0,0.35212441,0.32500727,0.32500727,0.1136,   0/  3,3.27471614
1,8,1,0.32508471,0.32494847,0.32494847,0.1135,   0/  3,3.29454947
1,8,2,0.32015932,0.29348252,0.29348252,0.192,   0/  3,3.29315138
1,8,3,0.26998909,0.25866908,0.25866908,0.316,   0/  3,3.26996946
1,8,4,0.25678231,0.25364306,0.25364306,0.3185,   0/  3,3.26576757
1,8,5,0.2551667,0.25363868,0.25363868,0.3121,   0/  3,3.2630794
1,8,6,0.25429411,0.25691466,0.25363868,0.3174,   1/  3,3.26401353
1,8,7,0.25420548,0.25310884,0.25310884,0.3149,   1/  3,3.27165508
1,8,8,0.25393046,0.25453323,0.25310884,0.3141,   2/  3,3.27016687
1,8,9,0.25374827,0.25289434,0.25289434,0.3179,   2/  3,3.28673005
1,8,10,0.25372179,0.25332603,0.25289434,0.3168,   3/  3,3.3398025
1,9,0,0.30444455,0.26779506,0.26779506,0.2745,   0/  3,3.78996873
1,9,1,0.26334497,0.25994827,0.25994827,0.2949,   0/  3,3.80908489
1,9,2,0.2581238,0.25546119,0.25546119,0.307,   0/  3,3.81287313
1,9,3,0.25599503,0.25352063,0.25352063,0.327,   0/  3,3.80742812
1,9,4,0.25509401,0.2529517,0.2529517,0.309,   0/  3,3.81819582
1,9,5,0.2546398,0.25519588,0.2529517,0.3205,   1/  3,3.80824137
1,9,6,0.25423155,0.25446975,0.2529517,0.3042,   2/  3,3.81192422
1,9,7,0.2539039,0.25411027,0.2529517,0.3279,   3/  3,3.81239796
2,0,0,0.38470165,0.3250093,0.3250093,0.1135,   0/  3,3.28575754
2,0,1,0.32500646,0.32496328,0.32496328,0.1135,   0/  3,3.31020832
2,0,2,0.3046621,0.29172647,0.29172647,0.2024,   0/  3,3.28715944
2,0,3,0.2893248,0.29018308,0.29018308,0.2103,   0/  3,3.29621887
2,0,4,0.28837934,0.28900228,0.28900228,0.2184,   0/  3,3.28757668
2,0,5,0.28136188,0.27616756,0.27616756,0.2742,   0/  3,3.27216148
2,0,6,0.27331924,0.27230945,0.27230945,0.31,   0/  3,3.26441288
2,0,7,0.26914273,0.26810415,0.26810415,0.3571,   0/  3,3.26213479
2,0,8,0.26620904,0.26665123,0.26665123,0.381,   0/  3,3.28175259
2,0,9,0.26152279,0.25885338,0.25885338,0.3884,   0/  3,3.30325842
2,0,10,0.25686397,0.25871461,0.25871461,0.392,   0/  3,3.33417797
2,0,11,0.25668005,0.25835138,0.25835138,0.3922,   0/  3,3.35685754
2,0,12,0.25654742,0.25891075,0.25835138,0.3833,   1/  3,3.40453339
2,0,13,0.25589175,0.26202524,0.25835138,0.4007,   2/  3,3.46581197
2,0,14,0.2559104,0.25908127,0.25835138,0.4042,   3/  3,3.50352311
2,1,0,0.34670545,0.32494939,0.32494939,0.1135,   0/  3,3.77690125
2,1,1,0.32502693,0.32492345,0.32492345,0.1135,   0/  3,3.80084109
2,1,2,0.32500519,0.32493545,0.32492345,0.1135,   1/  3,3.7960887
2,1,3,0.32502156,0.32501371,0.32492345,0.101,   2/  3,3.80194092
2,1,4,0.32500674,0.32497001,0.32492345,0.1135,   3/  3,3.80180883
2,2,0,0.30095584,0.2287334,0.2287334,0.4277,   0/  3,3.87400484
2,2,1,0.20671449,0.20063422,0.20063422,0.4737,   0/  3,3.91949415
2,2,2,0.19837305,0.19776984,0.19776984,0.4649,   0/  3,3.92472839
2,2,3,0.19263853,0.18860823,0.18860823,0.5351,   0/  3,3.92362499
2,2,4,0.18222339,0.18194051,0.18194051,0.5601,   0/  3,3.92286897
2,2,5,0.17867307,0.18439088,0.18194051,0.5492,   1/  3,3.91890526
2,2,6,0.17725703,0.17805021,0.17805021,0.5651,   1/  3,3.92017627
2,2,7,0.1759802,0.18163202,0.17805021,0.5613,   2/  3,3.9242928
2,2,8,0.17508839,0.17795019,0.17795019,0.5713,   2/  3,3.9380157
2,2,9,0.17381951,0.17594183,0.17594183,0.5812,   2/  3,3.95366263
2,2,10,0.17119224,0.1727735,0.1727735,0.5903,   2/  3,3.98564053
2,2,11,0.168683,0.17017283,0.17017283,0.5987,   2/  3,4.01122379
2,2,12,0.16732063,0.17025291,0.17017283,0.5996,   3/  3,4.04195285
2,3,0,0.27193279,0.1630154,0.1630154,0.6372,   0/  3,3.97100568
2,3,1,0.15101653,0.1459278,0.1459278,0.7158,   0/  3,3.99207544
2,3,2,0.1260676,0.1270207,0.1270207,0.7606,   0/  3,4.00052524
2,3,3,0.11918348,0.11387754,0.11387754,0.7914,   0/  3,4.002774
2,3,4,0.11609477,0.11225971,0.11225971,0.7967,   0/  3,4.00046015
2,3,5,0.11497981,0.11924878,0.11225971,0.7882,   1/  3,4.00827169
2,3,6,0.1135854,0.11213332,0.11213332,0.8023,   1/  3,4.00445485
2,3,7,0.1117214,0.11362803,0.11213332,0.7895,   2/  3,4.00465727
2,3,8,0.10968327,0.10463489,0.10463489,0.8134,   2/  3,4.01860452
2,3,9,0.10772201,0.11172548,0.10463489,0.7984,   3/  3,4.0520463
2,4,0,0.33426724,0.29834608,0.29834608,0.2095,   0/  3,3.88096094
2,4,1,0.28794704,0.28071281,0.28071281,0.2614,   0/  3,3.92226982
2,4,2,0.27864843,0.27304599,0.27304599,0.2889,   0/  3,3.92043519
2,4,3,0.27419912,0.27178473,0.27178473,0.2853,   0/  3,3.91988325
2,4,4,0.27280793,0.27187172,0.27178473,0.2917,   1/  3,3.91362667
