Generation,PID,Epoch, Training Loss, Validation Loss,Best loss (Generation), Accuracy,EarlyStopCount,Runtime
7,5,5,0.10165972,0.09947401,0.09947401,0.8229,   0/  3,4.16300774
7,5,6,0.09883369,0.0965839,0.0965839,0.8256,   0/  3,4.16770792
7,5,7,0.09632001,0.10193153,0.0965839,0.8225,   1/  3,4.1662693
7,5,8,0.09540333,0.09215009,0.09215009,0.8372,   1/  3,4.1914351
7,5,9,0.09447443,0.09158339,0.09158339,0.8381,   1/  3,4.26072669
7,5,10,0.09351746,0.09419619,0.09158339,0.8319,   2/  3,4.34401751
7,5,11,0.09305167,0.0917462,0.09158339,0.8343,   3/  3,4.38866925
7,6,0,0.13389799,0.09332498,0.09332498,0.844,   0/  3,3.98432684
7,6,1,0.09235426,0.08613001,0.08613001,0.8495,   0/  3,4.01116657
7,6,2,0.08351471,0.08150881,0.08150881,0.8612,   0/  3,4.02437973
7,6,3,0.07815423,0.07648459,0.07648459,0.8721,   0/  3,4.02557731
7,6,4,0.07494472,0.07697511,0.07648459,0.8661,   1/  3,4.01771832
7,6,5,0.07271279,0.0750541,0.0750541,0.8719,   1/  3,4.02728963
7,6,6,0.07122288,0.07161494,0.07161494,0.8792,   1/  3,4.02209759
7,6,7,0.07031032,0.07266215,0.07161494,0.8781,   2/  3,4.02357411
7,6,8,0.06904298,0.07493,0.07161494,0.8745,   3/  3,4.04775739
7,7,0,0.18565092,0.14152569,0.14152569,0.7338,   0/  3,4.09198403
7,7,1,0.14294151,0.13030522,0.13030522,0.7474,   0/  3,4.13477707
7,7,2,0.12966827,0.12660046,0.12660046,0.7727,   0/  3,4.12842441
7,7,3,0.11902397,0.11287694,0.11287694,0.8051,   0/  3,4.1342802
7,7,4,0.11330751,0.11173164,0.11173164,0.8074,   0/  3,4.13469386
7,7,5,0.11079166,0.11149386,0.11149386,0.8045,   0/  3,4.13210344
7,7,6,0.10873269,0.11206305,0.11149386,0.798,   1/  3,4.12899303
7,7,7,0.10772367,0.12032712,0.11149386,0.7841,   2/  3,4.13733816
7,7,8,0.1066858,0.10808112,0.10808112,0.8144,   2/  3,4.15031147
7,7,9,0.10582175,0.10795524,0.10795524,0.8081,   2/  3,4.22575736
7,7,10,0.10539971,0.10322421,0.10322421,0.8185,   2/  3,4.3141284
7,7,11,0.1048619,0.10172103,0.10172103,0.8225,   2/  3,4.35118604
7,7,12,0.1044673,0.10829833,0.10172103,0.8094,   3/  3,4.48005748
7,8,0,0.17533766,0.09902639,0.09902639,0.8358,   0/  3,4.14501309
7,8,1,0.09553231,0.09325812,0.09325812,0.8413,   0/  3,4.18652868
7,8,2,0.08635613,0.0841446,0.0841446,0.8563,   0/  3,4.19185567
7,8,3,0.0804044,0.08487346,0.0841446,0.8558,   1/  3,4.18823075
7,8,4,0.07817032,0.07549344,0.07549344,0.8692,   1/  3,4.18532205
7,8,5,0.07724458,0.07485389,0.07485389,0.8721,   1/  3,4.18851686
7,8,6,0.07563488,0.07214281,0.07214281,0.8771,   1/  3,4.19418025
7,8,7,0.07463076,0.0734432,0.07214281,0.878,   2/  3,4.19959903
7,8,8,0.07373454,0.07374554,0.07214281,0.877,   3/  3,4.21516395
7,9,0,0.18100997,0.13997249,0.13997249,0.7408,   0/  3,4.16237187
7,9,1,0.13394204,0.12487634,0.12487634,0.7671,   0/  3,4.20215178
7,9,2,0.12183784,0.11722857,0.11722857,0.7899,   0/  3,4.19887495
7,9,3,0.11713125,0.11319066,0.11319066,0.8019,   0/  3,4.19546175
7,9,4,0.11525628,0.11031624,0.11031624,0.7971,   0/  3,4.19737601
7,9,5,0.11257577,0.10513947,0.10513947,0.8074,   0/  3,4.20403934
7,9,6,0.10390717,0.10305425,0.10305425,0.8229,   0/  3,4.17796111
7,9,7,0.10137706,0.09952246,0.09952246,0.8345,   0/  3,4.18816876
7,9,8,0.09958795,0.09748934,0.09748934,0.832,   0/  3,4.20975518
7,9,9,0.09829124,0.10095538,0.09748934,0.8248,   1/  3,4.30177188
7,9,10,0.09767412,0.0969209,0.0969209,0.8401,   1/  3,4.37850118
7,9,11,0.0964289,0.09681805,0.09681805,0.8329,   1/  3,4.4142313
7,9,12,0.09576994,0.09838854,0.09681805,0.8293,   2/  3,4.57471395
7,9,13,0.09483859,0.09646016,0.09646016,0.8372,   2/  3,4.82451034
7,9,14,0.09430335,0.09397918,0.09397918,0.8404,   2/  3,4.850137
7,9,15,0.09378877,0.09956959,0.09397918,0.8406,   3/  3,4.85419321
8,0,0,0.12153798,0.07611795,0.07611795,0.8682,   0/  3,4.07396197
8,0,1,0.07315726,0.06899122,0.06899122,0.8838,   0/  3,4.11061621
8,0,2,0.0673031,0.06586771,0.06586771,0.8928,   0/  3,4.11086726
8,0,3,0.06341487,0.06590166,0.06586771,0.8939,   1/  3,4.11517978
8,0,4,0.06155567,0.06098555,0.06098555,0.9021,   1/  3,4.1140213
8,0,5,0.0601586,0.06468293,0.06098555,0.897,   2/  3,4.1035943
8,0,6,0.05909902,0.0616013,0.06098555,0.8976,   3/  3,4.11060095
8,1,0,0.16615215,0.1279789,0.1279789,0.7577,   0/  3,4.23161578
8,1,1,0.12368831,0.1179562,0.1179562,0.7843,   0/  3,4.27695274
8,1,2,0.11545937,0.1122264,0.1122264,0.7983,   0/  3,4.2858994
8,1,3,0.11038482,0.10722701,0.10722701,0.8104,   0/  3,4.27906752
8,1,4,0.10652548,0.1013788,0.1013788,0.8196,   0/  3,4.27630448
8,1,5,0.10365663,0.11265742,0.1013788,0.7963,   1/  3,4.27345347
8,1,6,0.10012287,0.09328898,0.09328898,0.837,   1/  3,4.26877642
8,1,7,0.09242773,0.08665349,0.08665349,0.8527,   1/  3,4.26968217
8,1,8,0.08886271,0.08662249,0.08662249,0.8524,   1/  3,4.28237081
8,1,9,0.08659745,0.08297994,0.08297994,0.8577,   1/  3,4.36795807
8,1,10,0.08571881,0.08316028,0.08297994,0.8575,   2/  3,4.50019336
8,1,11,0.08460637,0.08441667,0.08297994,0.8563,   3/  3,4.54516315
8,2,0,0.1318965,0.07463488,0.07463488,0.8813,   0/  3,4.05649614
8,2,1,0.07308739,0.06400889,0.06400889,0.8957,   0/  3,4.11545873
8,2,2,0.06482308,0.06356961,0.06356961,0.897,   0/  3,4.10995913
8,2,3,0.06076072,0.05673943,0.05673943,0.9099,   0/  3,4.10924935
8,2,4,0.05768058,0.05692903,0.05673943,0.9083,   1/  3,4.11326528
8,2,5,0.05582316,0.0568172,0.05673943,0.9084,   2/  3,4.10317016
8,2,6,0.05456196,0.05776666,0.05673943,0.9082,   3/  3,4.11075425
8,3,0,0.22738409,0.16295886,0.16295886,0.6523,   0/  3,4.09478903
8,3,1,0.16137018,0.15462972,0.15462972,0.6662,   0/  3,4.12661552
8,3,2,0.15528493,0.15134803,0.15134803,0.673,   0/  3,4.13432503
8,3,3,0.1526423,0.15996331,0.15134803,0.6652,   1/  3,4.13509226
8,3,4,0.15120998,0.14660554,0.14660554,0.6893,   1/  3,4.12720251
8,3,5,0.15073222,0.15617671,0.14660554,0.6441,   2/  3,4.13213181
8,3,6,0.14963756,0.15048392,0.14660554,0.6815,   3/  3,4.12872243
8,4,0,0.22236376,0.17122719,0.17122719,0.6317,   0/  3,4.21175838
8,4,1,0.16719535,0.15665761,0.15665761,0.6878,   0/  3,4.25718522
8,4,2,0.15749478,0.15153546,0.15153546,0.7139,   0/  3,4.26053095
8,4,3,0.15229656,0.15616321,0.15153546,0.7006,   1/  3,4.25793266
8,4,4,0.14912725,0.1487423,0.1487423,0.721,   1/  3,4.25767183
8,4,5,0.14777488,0.15285014,0.1487423,0.6982,   2/  3,4.25999832
8,4,6,0.14570611,0.14183084,0.14183084,0.7398,   2/  3,4.26242161
8,4,7,0.14514491,0.14863611,0.14183084,0.7308,   3/  3,4.26378751
8,5,0,0.17442649,0.1308005,0.1308005,0.7636,   0/  3,4.15989661
8,5,1,0.11507989,0.09445506,0.09445506,0.8285,   0/  3,4.16646123
8,5,2,0.09230771,0.08891969,0.08891969,0.8514,   0/  3,4.17584944
8,5,3,0.08797103,0.08297561,0.08297561,0.8587,   0/  3,4.17776704
8,5,4,0.08536767,0.08405414,0.08297561,0.8577,   1/  3,4.17570281
8,5,5,0.08367135,0.08079795,0.08079795,0.8638,   1/  3,4.17958069
8,5,6,0.08321616,0.08031471,0.08031471,0.8657,   1/  3,4.1819613
8,5,7,0.08112968,0.07801225,0.07801225,0.8711,   1/  3,4.18293071
