Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation),Accuracy,EarlyStop Count,Runtim
6,0,5,0.32500003,0.32496014,0.32493047,0.1135,   3/  3,3.88801384
6,1,0,0.37922899,0.32503104,0.32503104,0.1135,   0/  3,3.97738647
6,1,1,0.32496445,0.32493512,0.32493512,0.1135,   0/  3,4.00225282
6,1,2,0.32495293,0.32491767,0.32491767,0.1135,   0/  3,4.00213218
6,1,3,0.32495555,0.32494344,0.32491767,0.1135,   1/  3,3.9917438
6,1,4,0.32495397,0.32493594,0.32491767,0.1135,   2/  3,3.99436235
6,1,5,0.32495707,0.32493291,0.32491767,0.1135,   3/  3,3.98847461
6,2,0,0.33949467,0.32504266,0.32504266,0.1135,   0/  3,3.91618419
6,2,1,0.32510779,0.32508094,0.32504266,0.1032,   1/  3,3.93831325
6,2,2,0.32509895,0.3251321,0.32504266,0.1135,   2/  3,3.94129586
6,2,3,0.3250949,0.32502199,0.32502199,0.1135,   2/  3,3.93924642
6,2,4,0.32509603,0.32510184,0.32502199,0.1135,   3/  3,3.94129229
6,3,0,0.30796936,0.2538349,0.2538349,0.3118,   0/  3,3.87592745
6,3,1,0.24068296,0.22787558,0.22787558,0.4266,   0/  3,3.88472629
6,3,2,0.2253457,0.22122511,0.22122511,0.4379,   0/  3,3.88582015
6,3,3,0.2197782,0.21566124,0.21566124,0.4546,   0/  3,3.8942585
6,3,4,0.21713832,0.21551865,0.21551865,0.4328,   0/  3,3.89172268
6,3,5,0.2144562,0.21076348,0.21076348,0.5142,   0/  3,3.88852882
6,3,6,0.2127963,0.206329,0.206329,0.512,   0/  3,3.88759637
6,3,7,0.21108672,0.20664359,0.206329,0.5067,   1/  3,3.89695334
6,3,8,0.20917846,0.21271569,0.206329,0.4762,   2/  3,3.9007082
6,3,9,0.20909047,0.2125126,0.206329,0.5266,   3/  3,3.91372013
6,4,0,0.39126949,0.32502518,0.32502518,0.1135,   0/  3,3.94219351
6,4,1,0.32497105,0.32492208,0.32492208,0.1135,   0/  3,3.95998335
