Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
1,2,18,0.17181699,0.17011583,0.17011583,0.5716,   2/  3,3.71712399
1,2,19,0.16915102,0.16705863,0.16705863,0.568,   2/  3,3.71746111
1,2,20,0.1689045,0.17092739,0.16705863,0.5522,   3/  3,3.71950507
1,3,0,0.27013154,0.23223391,0.23223391,0.463,   0/  3,4.86030626
1,3,1,0.2029924,0.17123886,0.17123886,0.6294,   0/  3,4.91625524
1,3,2,0.16473788,0.15712977,0.15712977,0.6741,   0/  3,4.91662169
1,3,3,0.15540085,0.15273144,0.15273144,0.6914,   0/  3,4.91406631
1,3,4,0.15057473,0.15087188,0.15087188,0.6921,   0/  3,4.90728378
1,3,5,0.14754397,0.14889866,0.14889866,0.7098,   0/  3,4.89946246
1,3,6,0.14526203,0.14319353,0.14319353,0.7367,   0/  3,4.9130528
1,3,7,0.14352207,0.14296558,0.14296558,0.7295,   0/  3,4.92471242
1,3,8,0.14340437,0.14531307,0.14296558,0.7281,   1/  3,4.9930892
1,3,9,0.14221141,0.14295533,0.14295533,0.7358,   1/  3,5.05773354
1,3,10,0.14181634,0.14408038,0.14295533,0.7209,   2/  3,5.08093929
1,3,11,0.14087738,0.14354039,0.14295533,0.7343,   3/  3,5.16983724
1,4,0,0.36790622,0.32495714,0.32495714,0.1135,   0/  3,3.61005116
1,4,1,0.3249604,0.32491356,0.32491356,0.1135,   0/  3,3.63302159
1,4,2,0.3249619,0.32490585,0.32490585,0.1135,   0/  3,3.61887074
1,4,3,0.32495325,0.32491233,0.32490585,0.1135,   1/  3,3.62212253
1,4,4,0.3249468,0.32492074,0.32490585,0.1135,   2/  3,3.62494254
1,4,5,0.32494966,0.3249392,0.32490585,0.1135,   3/  3,3.62135959
1,5,0,0.34390166,0.32492553,0.32492553,0.1135,   0/  3,4.72483039
1,5,1,0.32498126,0.32494998,0.32492553,0.1135,   1/  3,4.73891258
1,5,2,0.32499316,0.32495315,0.32492553,0.1135,   2/  3,4.73866081
1,5,3,0.3249926,0.3249024,0.3249024,0.1135,   2/  3,4.73925781
1,5,4,0.32497588,0.32501218,0.3249024,0.1135,   3/  3,4.74181032
1,6,0,0.27585528,0.23684438,0.23684438,0.3731,   0/  3,4.26549506
1,6,1,0.22969763,0.22805928,0.22805928,0.4014,   0/  3,4.30336547
1,6,2,0.2231768,0.22319362,0.22319362,0.4218,   0/  3,4.30342197
1,6,3,0.21842486,0.21556708,0.21556708,0.4587,   0/  3,4.31118226
1,6,4,0.2109908,0.21283868,0.21283868,0.466,   0/  3,4.30939841
1,6,5,0.20787534,0.21129619,0.21129619,0.4801,   0/  3,4.310637
1,6,6,0.206759,0.21132471,0.21129619,0.4743,   1/  3,4.30312657
1,6,7,0.20493651,0.21109328,0.21109328,0.4706,   1/  3,4.31091094
1,6,8,0.20337378,0.20811382,0.20811382,0.5029,   1/  3,4.33389497
1,6,9,0.20248371,0.20987798,0.20811382,0.4734,   2/  3,4.35871506
1,6,10,0.20083569,0.20560137,0.20560137,0.4789,   2/  3,4.36872649
1,6,11,0.20021883,0.20504258,0.20504258,0.4967,   2/  3,4.40637803
1,6,12,0.19890598,0.20637992,0.20504258,0.4751,   3/  3,4.47398043
1,7,0,0.31295786,0.26742647,0.26742647,0.3068,   0/  3,3.77583241
1,7,1,0.26029416,0.25802473,0.25802473,0.3842,   0/  3,3.82767701
1,7,2,0.25630412,0.25928955,0.25802473,0.3705,   1/  3,3.83030605
1,7,3,0.25523237,0.25488521,0.25488521,0.4125,   1/  3,3.82984591
1,7,4,0.25431114,0.25369575,0.25369575,0.3503,   1/  3,3.83256483
